mach,alpha_rad,beta_rad,drag,side,normal,roll,pitch,yaw
0,-0.174532925199,-0.13962634016,0.429138522594,0.209439510239,0.418879020479,0.00698131700798,0.314159265359,-0.209439510239
0,-0.174532925199,0,0.429138522594,0,0.418879020479,0,0.314159265359,0
0,-0.174532925199,0.13962634016,0.429138522594,-0.209439510239,0.418879020479,-0.00698131700798,0.314159265359,0.209439510239
0,0,-0.13962634016,0.42,0.209439510239,0,0.00698131700798,0,-0.209439510239
0,0,0,0.42,0,0,0,0,0
0,0,0.13962634016,0.42,-0.209439510239,0,-0.00698131700798,0,0.209439510239
0,0.174532925199,-0.13962634016,0.429138522594,0.209439510239,-0.418879020479,0.00698131700798,-0.314159265359,-0.209439510239
0,0.174532925199,0,0.429138522594,0,-0.418879020479,0,-0.314159265359,0
0,0.174532925199,0.13962634016,0.429138522594,-0.209439510239,-0.418879020479,-0.00698131700798,-0.314159265359,0.209439510239
1,-0.174532925199,-0.13962634016,0.689138522594,0.209439510239,0.418879020479,0.00698131700798,0.314159265359,-0.209439510239
1,-0.174532925199,0,0.689138522594,0,0.418879020479,0,0.314159265359,0
1,-0.174532925199,0.13962634016,0.689138522594,-0.209439510239,0.418879020479,-0.00698131700798,0.314159265359,0.209439510239
1,0,-0.13962634016,0.68,0.209439510239,0,0.00698131700798,0,-0.209439510239
1,0,0,0.68,0,0,0,0,0
1,0,0.13962634016,0.68,-0.209439510239,0,-0.00698131700798,0,0.209439510239
1,0.174532925199,-0.13962634016,0.689138522594,0.209439510239,-0.418879020479,0.00698131700798,-0.314159265359,-0.209439510239
1,0.174532925199,0,0.689138522594,0,-0.418879020479,0,-0.314159265359,0
1,0.174532925199,0.13962634016,0.689138522594,-0.209439510239,-0.418879020479,-0.00698131700798,-0.314159265359,0.209439510239
2,-0.174532925199,-0.13962634016,0.459138522594,0.209439510239,0.418879020479,0.00698131700798,0.314159265359,-0.209439510239
2,-0.174532925199,0,0.459138522594,0,0.418879020479,0,0.314159265359,0
2,-0.174532925199,0.13962634016,0.459138522594,-0.209439510239,0.418879020479,-0.00698131700798,0.314159265359,0.209439510239
2,0,-0.13962634016,0.45,0.209439510239,0,0.00698131700798,0,-0.209439510239
2,0,0,0.45,0,0,0,0,0
2,0,0.13962634016,0.45,-0.209439510239,0,-0.00698131700798,0,0.209439510239
2,0.174532925199,-0.13962634016,0.459138522594,0.209439510239,-0.418879020479,0.00698131700798,-0.314159265359,-0.209439510239
2,0.174532925199,0,0.459138522594,0,-0.418879020479,0,-0.314159265359,0
2,0.174532925199,0.13962634016,0.459138522594,-0.209439510239,-0.418879020479,-0.00698131700798,-0.314159265359,0.209439510239
